sigma,changed_images,disagreement_rate,nmi,ari
0.0,0,0.0,0.9999999999999998,1.0
0.05,506,0.008433333333333333,0.9726015707805137,0.9810687973032217
0.1,1051,0.017516666666666666,0.94822384392101,0.9608600412405403
0.15,1636,0.027266666666666668,0.9246235953468626,0.9395631336969424
0.2,2163,0.03605,0.9045219803417786,0.9206091264680873
0.25,2765,0.04608333333333333,0.8832132995537093,0.8989492508349171
0.3,3597,0.05995,0.8571816381918532,0.870184875497088
0.4,12717,0.21195,0.7287062996649379,0.6721054532967046
0.5,13728,0.2288,0.6946444054606585,0.6387151569613463
